аджамия;[разг.] Който е неопитен, неумел, несръчен.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
аджеба;[разг.] За подчертаване на недоумение, съмнение и учудване - всъщност, наистина, чудно.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
адио;[разг.] Сбогом.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
администратор;1. Длъжностно лице, което участва в управлението.;2. [разг.] Лице от административния обслужващ персонал.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
администраторка;Жена администратор.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
администрация;1. Органите на изпълнителната държавна власт, на управлението на учреждения, фирми, предприятия.;2. Длъжностните лица в управлението като цяло, вкл. обслужващият персонал.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
администрирам;1. Управлявам, ръководя.;2. [пренебр.] Управлявам бюрократично, формално, без да навлизам в същината на работата.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
адмирал;Висше звание в командния състав на военноморските сили и лице, което има това звание.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
адмирация;Възхищение, почит, подкрепа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
адмирирам;Изразявам адмирации.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
